,kenteken,voertuigsoort,merk,handelsbenaming,inrichting,eerste_kleur,massa_ledig_voertuig,wam_verzekerd,aantal_wielen,europese_voertuigcategorie,datum_tenaamstelling_dt,datum_eerste_toelating_dt,datum_eerste_tenaamstelling_in_nederland_dt,aantal_deuren,aantal_cilinders,vermogen_massarijklaar,brandstof_volgnummer,brandstof_omschrijving,emissiecode_omschrijving,klasse_hybride_elektrisch_voertuig,uitlaatemissieniveau,milieuklasse_eg_goedkeuring_licht
0,VX98HT,Bedrijfsauto,SUZUKI,SAMURAI VAN,gesloten opbouw,N.v.t.,1200,Nee,4,N1,1997-12-01T00:00:00.000,1993-10-22T00:00:00.000,1993-10-22T00:00:00.000,,0,0.01,1,Elektriciteit,Z,,,
1,VBR91Z,Bedrijfsauto,RENAULT,MASTER Z.E.,hoogwerker,N.v.t.,2940,Ja,4,N1,2021-12-15T00:00:00.000,2019-08-30T00:00:00.000,2019-08-30T00:00:00.000,,0,0.01,1,Elektriciteit,Z,,ZX,715/2007*2017/1347ZX
2,VBH29H,Bedrijfsauto,NISSAN,E-NV200,hoogwerker,N.v.t.,2055,Ja,4,N1,2019-07-30T00:00:00.000,2019-05-21T00:00:00.000,2019-07-03T00:00:00.000,,0,0.04,1,Elektriciteit,Z,,EURO 6,
3,VBH30H,Bedrijfsauto,NISSAN,E-NV200,hoogwerker,N.v.t.,2055,Ja,4,N1,2019-07-30T00:00:00.000,2019-05-21T00:00:00.000,2019-07-03T00:00:00.000,,0,0.04,1,Elektriciteit,Z,,EURO 6,
4,92YD97,Bedrijfsauto,CITROEN,HY-E,open laadvloer,N.v.t.,1775,Ja,4,N1,2022-02-17T00:00:00.000,1973-06-06T00:00:00.000,2022-02-11T00:00:00.000,3,,0.04,1,Elektriciteit,Z,,,
5,V097TR,Bedrijfsauto,STREETSCOOTER,WORK L,gecond. met temperatuurreg.,N.v.t.,2380,Ja,4,N1,2023-02-14T00:00:00.000,2018-07-19T00:00:00.000,2018-12-04T00:00:00.000,,0,0.02,1,Elektriciteit,Z,,ZX,715/2007*2016/646ZX
6,V596VJ,Bedrijfsauto,STREETSCOOTER,WORK L,gecond. met temperatuurreg.,N.v.t.,2380,Ja,4,N1,2022-02-25T00:00:00.000,2018-07-19T00:00:00.000,2019-01-07T00:00:00.000,,0,0.02,1,Elektriciteit,Z,,ZX,715/2007*2016/646ZX
7,V310ZD,Bedrijfsauto,NISSAN,NISSAN E-NV200,hoogwerker,N.v.t.,2015,Ja,4,N1,2019-05-10T00:00:00.000,2019-03-19T00:00:00.000,2019-04-18T00:00:00.000,,0,0.04,1,Elektriciteit,Z,,,
8,6VXX99,Bedrijfsauto,JINGDEZHEN CHANGHE,FREEDOM ELEKTRO,open wagen,N.v.t.,1560,Nee,4,N1,2017-01-23T00:00:00.000,2013-04-09T00:00:00.000,2013-04-09T00:00:00.000,,0,0.01,1,Elektriciteit,Z,,,
9,02BPK1,Bedrijfsauto,SPIERINGS,SK487-AT3,mobiele kraan,N.v.t.,35750,Ja,6,N3,2020-03-11T00:00:00.000,2020-03-11T00:00:00.000,2020-03-11T00:00:00.000,2,6,0.01,1,Elektriciteit,6,OVC-HEV,,
10,03BRK4,Bedrijfsauto,SPIERINGS,SK487-AT3,mobiele kraan,N.v.t.,35750,Nee,6,N3,2022-08-10T00:00:00.000,2021-03-18T00:00:00.000,2021-03-18T00:00:00.000,2,6,0.01,1,Elektriciteit,6,OVC-HEV,,
11,05BLZ4,Bedrijfsauto,SPIERINGS,SK487-AT3,mobiele kraan,N.v.t.,35750,Ja,6,N3,2022-11-15T00:00:00.000,2019-02-20T00:00:00.000,2019-02-20T00:00:00.000,,6,0.01,1,Elektriciteit,Z,NOVC-HEV,,
12,21BPN2,Bedrijfsauto,SPIERINGS,SK487-AT3,mobiele kraan,N.v.t.,35750,Ja,6,N3,2020-05-14T00:00:00.000,2020-05-14T00:00:00.000,2020-05-14T00:00:00.000,2,6,0.01,1,Elektriciteit,6,OVC-HEV,,
13,40BTG1,Bedrijfsauto,SPIERINGS,SK487-AT3,mobiele kraan,N.v.t.,35750,Ja,6,N3,2022-07-14T00:00:00.000,2022-07-14T00:00:00.000,2022-07-14T00:00:00.000,1,6,0.01,1,Elektriciteit,6,OVC-HEV,,
14,80BNF3,Bedrijfsauto,SPIERINGS,SK487-AT3,mobiele kraan,N.v.t.,35750,Ja,6,N3,2021-02-12T00:00:00.000,2019-04-03T00:00:00.000,2019-04-03T00:00:00.000,,6,0.01,1,Elektriciteit,Z,NOVC-HEV,,
15,VBJ53T,Bedrijfsauto,NISSAN,NISSAN E-NV200,hoogwerker,N.v.t.,1970,Ja,4,N1,2019-07-22T00:00:00.000,2019-07-15T00:00:00.000,2019-07-15T00:00:00.000,,0,0.04,1,Elektriciteit,Z,,ZX,715/2007*2015/45ZX
16,BE7159,Bedrijfsauto,CITROEN,AK,gesloten opbouw,N.v.t.,795,Ja,4,N1,2020-02-10T00:00:00.000,1967-06-22T00:00:00.000,2011-10-04T00:00:00.000,,0,0.03,1,Elektriciteit,Z,,,
17,7VVJ71,Bedrijfsauto,MIA,MIA,gesloten opbouw,N.v.t.,890,Ja,4,N1,2018-04-24T00:00:00.000,2012-04-16T00:00:00.000,2012-04-16T00:00:00.000,0,0,0.01,1,Elektriciteit,Z,,EURO 5,
18,7VVJ81,Bedrijfsauto,MIA,MIA,gesloten opbouw,N.v.t.,890,Ja,4,N1,2022-08-16T00:00:00.000,2012-04-16T00:00:00.000,2012-04-16T00:00:00.000,0,0,0.01,1,Elektriciteit,Z,,EURO 5,
19,64BHNL,Bedrijfsauto,PEUGEOT,1SZAA0,gesloten opbouw,N.v.t.,1080,Nee,4,N1,2021-12-21T00:00:00.000,1998-03-06T00:00:00.000,2003-03-21T00:00:00.000,,0,0.01,1,Elektriciteit,Z,,,
20,VPN58S,Bedrijfsauto,MAXUS,MAXUS  EV80,kipper,N.v.t.,3215,Ja,4,N1,2022-07-13T00:00:00.000,2022-07-13T00:00:00.000,2022-07-13T00:00:00.000,2,,0.02,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
21,BE8897,Bedrijfsauto,G.M.C.,100,open laadvloer,N.v.t.,1781,Ja,4,N1,2019-12-13T00:00:00.000,1950-02-28T00:00:00.000,2017-11-01T00:00:00.000,,,0.10,1,Elektriciteit,Z,,,
22,69TB56,Bedrijfsauto,MINI,1000 VAN,gesloten opbouw,N.v.t.,647,Ja,4,N1,2021-01-21T00:00:00.000,1980-05-22T00:00:00.000,1980-05-22T00:00:00.000,,,0.02,1,Elektriciteit,Z,,,
23,BE7217,Bedrijfsauto,CITROEN,AK B,gesloten opbouw,N.v.t.,755,Ja,4,N1,2013-05-21T00:00:00.000,1970-05-19T00:00:00.000,2013-05-21T00:00:00.000,,,0.03,1,Elektriciteit,Z,,,
24,VS09JS,Bedrijfsauto,FIAT,PANDA ELETTRA,gesloten opbouw,N.v.t.,1140,Ja,4,N1,2001-03-16T00:00:00.000,1992-09-25T00:00:00.000,1992-09-25T00:00:00.000,0,,0.01,1,Elektriciteit,Z,,,
25,VS14JZ,Bedrijfsauto,FIAT,PANDA ELETTRA,gesloten opbouw,N.v.t.,1140,Ja,4,N1,2005-01-12T00:00:00.000,1992-09-29T00:00:00.000,1992-09-29T00:00:00.000,0,,0.01,1,Elektriciteit,Z,,,
26,VS15JZ,Bedrijfsauto,FIAT,PANDA ELETTRA,gesloten opbouw,N.v.t.,1140,Nee,4,N1,2019-05-31T00:00:00.000,1992-09-29T00:00:00.000,1992-09-29T00:00:00.000,0,,0.01,1,Elektriciteit,Z,,,
27,6VTG68,Bedrijfsauto,PIAGGIO,PORTER ELECTRIC,kipper,N.v.t.,1490,Ja,4,N1,2022-03-29T00:00:00.000,2012-03-05T00:00:00.000,2012-03-05T00:00:00.000,0,0,0.01,1,Elektriciteit,Z,,,
28,6VTG70,Bedrijfsauto,PIAGGIO,PORTER ELECTRIC,kipper,N.v.t.,1490,Ja,4,N1,2019-04-29T00:00:00.000,2012-03-05T00:00:00.000,2012-03-05T00:00:00.000,0,0,0.01,1,Elektriciteit,Z,,,
29,6VTG72,Bedrijfsauto,PIAGGIO,PORTER ELECTRIC,kipper,N.v.t.,1490,Ja,4,N1,2019-04-17T00:00:00.000,2012-03-05T00:00:00.000,2012-03-05T00:00:00.000,0,0,0.01,1,Elektriciteit,Z,,,
30,6VTG74,Bedrijfsauto,PIAGGIO,PORTER ELECTRIC,kipper,N.v.t.,1490,Ja,4,N1,2019-03-29T00:00:00.000,2012-03-05T00:00:00.000,2012-03-05T00:00:00.000,0,0,0.01,1,Elektriciteit,Z,,,
31,6VTG77,Bedrijfsauto,PIAGGIO,PORTER ELECTRIC,kipper,N.v.t.,1490,Nee,4,N1,2022-12-27T00:00:00.000,2012-03-05T00:00:00.000,2012-03-05T00:00:00.000,0,0,0.01,1,Elektriciteit,Z,,,
32,BE6413,Bedrijfsauto,CITROEN,AK350,gesloten opbouw,N.v.t.,755,Ja,4,N1,2020-01-30T00:00:00.000,1968-06-30T00:00:00.000,2009-04-16T00:00:00.000,,,0.04,1,Elektriciteit,Z,,,
33,9VHJ71,Bedrijfsauto,ECOCRAFT,CARRIER,open wagen,N.v.t.,1432,Ja,4,N1,2021-02-01T00:00:00.000,2010-05-18T00:00:00.000,2010-05-18T00:00:00.000,,0,0.01,1,Elektriciteit,Z,,,
34,VSR95N,Bedrijfsauto,CENNTRO,"CENNTRO, METRO",detailhandel/expositiedoel.,N.v.t.,1475,Ja,4,N1,2022-11-29T00:00:00.000,2022-11-29T00:00:00.000,2022-11-29T00:00:00.000,2,,0.01,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
35,VSX12R,Bedrijfsauto,CENNTRO,"CENNTRO, METRO",gesloten opbouw,N.v.t.,1475,Ja,4,N1,2022-12-14T00:00:00.000,2022-12-14T00:00:00.000,2022-12-14T00:00:00.000,2,,0.01,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
36,VSX13R,Bedrijfsauto,CENNTRO,"CENNTRO, METRO",gesloten opbouw,N.v.t.,1475,Ja,4,N1,2022-12-14T00:00:00.000,2022-12-14T00:00:00.000,2022-12-14T00:00:00.000,2,,0.01,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
37,VTS86J,Bedrijfsauto,CITROEN,E.JUMPER,neerklapbare zijschotten,N.v.t.,3175,Nee,4,N1,2023-02-23T00:00:00.000,2023-02-23T00:00:00.000,2023-02-23T00:00:00.000,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
38,3VKK96,Bedrijfsauto,VOLKSWAGEN,CADDY,gesloten opbouw,N.v.t.,2040,Ja,4,N1,2010-12-02T00:00:00.000,2010-12-02T00:00:00.000,2010-12-02T00:00:00.000,0,,0.02,1,Elektriciteit,Z,,,
39,V133TZ,Bedrijfsauto,NISSAN,NISSAN E-NV200,kipper,N.v.t.,1890,Ja,4,N1,2019-01-17T00:00:00.000,2019-01-17T00:00:00.000,2019-01-17T00:00:00.000,,,0.04,1,Elektriciteit,Z,,,
40,VPS57R,Bedrijfsauto,RENAULT,KANGOO EXPRESS Z.E.,kipper,N.v.t.,1845,Ja,4,N1,2022-05-04T00:00:00.000,2022-05-04T00:00:00.000,2022-05-04T00:00:00.000,4,,0.02,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
41,V603RL,Bedrijfsauto,MEGA,RNH9,kipper,N.v.t.,1304,Ja,4,N1,2023-03-08T00:00:00.000,2013-01-29T00:00:00.000,2018-07-27T00:00:00.000,,0,0.00,1,Elektriciteit,Z,,,
42,V618RL,Bedrijfsauto,MEGA,RNH9,kipper,N.v.t.,1304,Ja,4,N1,2023-03-02T00:00:00.000,2013-04-24T00:00:00.000,2018-07-27T00:00:00.000,,0,0.00,1,Elektriciteit,Z,,,
43,V054JF,Bedrijfsauto,STREETSCOOTER,STREETSCOOTER WORK,open laadvloer,N.v.t.,1835,Ja,4,N1,2019-03-21T00:00:00.000,2018-08-15T00:00:00.000,2018-08-15T00:00:00.000,,0,0.00,1,Elektriciteit,Z,,,
44,V344JF,Bedrijfsauto,STREETSCOOTER,STREETSCOOTER WORK,open laadvloer,N.v.t.,1835,Ja,4,N1,2019-03-21T00:00:00.000,2018-08-15T00:00:00.000,2018-08-15T00:00:00.000,,0,0.00,1,Elektriciteit,Z,,,
45,VFS64T,Bedrijfsauto,MAXUS,MAXUS EV80,gesloten opbouw,N.v.t.,3155,Ja,4,N1,2020-04-14T00:00:00.000,2020-04-14T00:00:00.000,2020-04-14T00:00:00.000,2,,0.02,1,Elektriciteit,Z,,,
46,VRL07P,Bedrijfsauto,FORD,TRANSIT,gecond. met temperatuurreg.,N.v.t.,3155,Ja,6,N1,2022-07-13T00:00:00.000,2022-07-13T00:00:00.000,2022-07-13T00:00:00.000,2,,0.03,1,Elektriciteit,6,,EURO 6 AR,715/2007*2018/1832AX
47,VDS06X,Bedrijfsauto,PEUGEOT,ION,gesloten opbouw,N.v.t.,1095,Ja,4,N1,2019-12-20T00:00:00.000,2013-03-11T00:00:00.000,2019-12-20T00:00:00.000,,,0.03,1,Elektriciteit,Z,,,
48,4VZX68,Bedrijfsauto,MIA,MIA,gesloten opbouw,N.v.t.,830,Ja,4,N1,2012-12-19T00:00:00.000,2012-12-19T00:00:00.000,2012-12-19T00:00:00.000,0,0,0.01,1,Elektriciteit,Z,,,
49,VG637D,Bedrijfsauto,RENAULT,KANGOO EXPRESS Z.E,gesloten opbouw,N.v.t.,1815,Ja,4,N1,2019-03-21T00:00:00.000,2013-11-11T00:00:00.000,2013-11-11T00:00:00.000,0,0,0.00,1,Elektriciteit,Z,,EURO 5 A,715/2007*692/2008A
50,VTJ09L,Bedrijfsauto,RIVIAN,R1T,pick-up truck,N.v.t.,3135,Ja,4,N1,2023-01-18T00:00:00.000,2022-07-19T00:00:00.000,2023-01-18T00:00:00.000,4,,0.00,1,Elektriciteit,Z,,,
51,4VTN46,Bedrijfsauto,MIA,MIA,gesloten opbouw,N.v.t.,790,Ja,4,N1,2020-04-25T00:00:00.000,2012-02-20T00:00:00.000,2012-02-20T00:00:00.000,0,0,0.01,1,Elektriciteit,Z,,EURO 5,
52,4VDV94,Bedrijfsauto,RENAULT,KANGOO ELECTRIQUE,gesloten opbouw,N.v.t.,1394,Ja,4,N1,2011-10-17T00:00:00.000,2002-12-20T00:00:00.000,2009-08-24T00:00:00.000,0,0,0.01,1,Elektriciteit,Z,,,
53,VHZD14,Bedrijfsauto,RENAULT,EXPRESS ELECTRO 2,gesloten opbouw,N.v.t.,1247,Nee,4,N1,2011-06-06T00:00:00.000,1996-02-22T00:00:00.000,1996-02-22T00:00:00.000,0,,0.02,1,Elektriciteit,Z,,,
54,VJGG78,Bedrijfsauto,RENAULT,EXPRESS ELECTRO 2,gesloten opbouw,N.v.t.,1247,Nee,4,N1,2011-07-07T00:00:00.000,1996-03-19T00:00:00.000,1996-03-19T00:00:00.000,0,,0.02,1,Elektriciteit,Z,,,
55,VJGG79,Bedrijfsauto,RENAULT,EXPRESS ELECTRO 2,gesloten opbouw,N.v.t.,1247,Nee,4,N1,2003-02-21T00:00:00.000,1996-03-19T00:00:00.000,1996-03-19T00:00:00.000,0,,0.02,1,Elektriciteit,Z,,,
56,VGK85F,Bedrijfsauto,STREETSCOOTER,WORK,gesloten opbouw,N.v.t.,1795,Ja,4,N1,2020-07-21T00:00:00.000,2020-07-21T00:00:00.000,2020-07-21T00:00:00.000,,,0.04,1,Elektriciteit,Z,,,
57,29BSF1,Bedrijfsauto,ISUZU,P75,"straatvgr,reiniger,rioolzgr",N.v.t.,7110,Nee,6,N2,2022-11-24T00:00:00.000,2020-04-21T00:00:00.000,2021-10-18T00:00:00.000,2,,0.00,1,Elektriciteit,Z,,,
58,VDD82K,Bedrijfsauto,STREETSCOOTER,WORK,gesloten opbouw,N.v.t.,1790,Ja,4,N1,2019-10-14T00:00:00.000,2019-10-09T00:00:00.000,2019-10-09T00:00:00.000,,0,0.03,1,Elektriciteit,Z,,ZX,715/2007*692/2008ZX
59,VFZ13S,Bedrijfsauto,STREETSCOOTER,WORK,kipper,N.v.t.,1790,Ja,4,N1,2020-05-14T00:00:00.000,2020-05-14T00:00:00.000,2020-05-14T00:00:00.000,2,,0.03,1,Elektriciteit,Z,,AX,715/2007*2017/1347AX
60,VSN06H,Bedrijfsauto,NISSAN,NISSAN E-NV200,gesloten opbouw,N.v.t.,1849,Ja,4,N1,2022-12-12T00:00:00.000,2021-09-09T00:00:00.000,2022-12-12T00:00:00.000,2,,0.04,1,Elektriciteit,Z,,AX,715/2007*2017/1347AX
61,VSN07H,Bedrijfsauto,NISSAN,NISSAN E-NV200,gesloten opbouw,N.v.t.,1849,Ja,4,N1,2022-12-12T00:00:00.000,2021-11-29T00:00:00.000,2022-12-12T00:00:00.000,2,,0.04,1,Elektriciteit,Z,,AX,715/2007*2017/1347AX
62,VBH58F,Bedrijfsauto,VOLKSWAGEN,UP!,gesloten opbouw,N.v.t.,1137,Ja,4,N1,2019-07-10T00:00:00.000,2019-07-10T00:00:00.000,2019-07-10T00:00:00.000,2,,0.05,1,Elektriciteit,Z,,AX,
63,02YE79,Bedrijfsauto,CITROEN,AK400E,gesloten opbouw,N.v.t.,760,Ja,4,N1,2023-02-03T00:00:00.000,1977-01-01T00:00:00.000,2023-02-03T00:00:00.000,2,,0.03,1,Elektriciteit,Z,,,
64,VBP20J,Bedrijfsauto,VOLKSWAGEN,UP!,gesloten opbouw,N.v.t.,1134,Ja,4,N1,2019-12-18T00:00:00.000,2019-08-13T00:00:00.000,2019-08-13T00:00:00.000,2,0,0.05,1,Elektriciteit,6,,EURO 6 AG,715/2007*2017/1347AG
65,V005PX,Bedrijfsauto,VOLKSWAGEN,UP!,gesloten opbouw,N.v.t.,1130,Ja,4,N1,2018-06-29T00:00:00.000,2018-06-29T00:00:00.000,2018-06-29T00:00:00.000,2,,0.05,1,Elektriciteit,Z,,ZX,
66,V006PX,Bedrijfsauto,VOLKSWAGEN,UP!,gesloten opbouw,N.v.t.,1130,Ja,4,N1,2018-06-29T00:00:00.000,2018-06-29T00:00:00.000,2018-06-29T00:00:00.000,2,,0.05,1,Elektriciteit,Z,,ZX,
67,V509JL,Bedrijfsauto,VOLKSWAGEN,UP!,gesloten opbouw,N.v.t.,1130,Ja,4,N1,2019-02-13T00:00:00.000,2017-11-01T00:00:00.000,2017-11-01T00:00:00.000,2,,0.00,1,Elektriciteit,Z,,,
68,VGS42B,Bedrijfsauto,MAXUS,EV80,gesloten opbouw,N.v.t.,3100,Ja,4,N1,2020-11-18T00:00:00.000,2020-11-18T00:00:00.000,2020-11-18T00:00:00.000,,,0.02,1,Elektriciteit,Z,,,
69,VKZ96S,Bedrijfsauto,VOLKSWAGEN,UP!,gesloten opbouw,N.v.t.,1130,Ja,4,N1,2021-11-15T00:00:00.000,2017-05-31T00:00:00.000,2021-11-15T00:00:00.000,2,,0.05,1,Elektriciteit,Z,,ZX,715/2007*2016/646ZX
70,VNZ75K,Bedrijfsauto,VOLKSWAGEN,UP!,gesloten opbouw,N.v.t.,1130,Ja,4,N1,2022-02-07T00:00:00.000,2017-12-05T00:00:00.000,2022-02-07T00:00:00.000,2,,0.05,1,Elektriciteit,Z,,ZX,715/2007*2016/646ZX
71,VKZ94L,Bedrijfsauto,RENAULT,4,gesloten opbouw,N.v.t.,702,Ja,4,N1,2021-07-23T00:00:00.000,1985-04-03T00:00:00.000,2021-07-23T00:00:00.000,,,0.11,1,Elektriciteit,Z,,,
72,VBK90Z,Bedrijfsauto,STREETSCOOTER,WORK,kipper,N.v.t.,1775,Ja,4,N1,2019-07-31T00:00:00.000,2019-07-23T00:00:00.000,2019-07-23T00:00:00.000,,0,0.03,1,Elektriciteit,Z,,AX,715/2007*2017/1347AX
73,VSN49Z,Bedrijfsauto,FIAT,FIAT DUCATO,gesloten opbouw,N.v.t.,3095,Ja,4,N2,2022-11-22T00:00:00.000,2022-11-22T00:00:00.000,2022-11-22T00:00:00.000,2,,0.02,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
74,VHR46N,Bedrijfsauto,FIAT,PANDA ELETTRA,gesloten opbouw,N.v.t.,1030,Nee,4,N1,2020-11-25T00:00:00.000,1996-01-01T00:00:00.000,2020-11-25T00:00:00.000,,,0.01,1,Elektriciteit,Z,,,
75,V271PK,Bedrijfsauto,NISSAN,NISSAN E-NV200,kipper,N.v.t.,1798,Ja,4,N1,2018-06-06T00:00:00.000,2018-06-06T00:00:00.000,2018-06-06T00:00:00.000,,0,0.04,1,Elektriciteit,Z,,,
76,V321PK,Bedrijfsauto,NISSAN,NISSAN E-NV200,kipper,N.v.t.,1798,Ja,4,N1,2018-06-06T00:00:00.000,2018-06-06T00:00:00.000,2018-06-06T00:00:00.000,,0,0.04,1,Elektriciteit,Z,,,
77,VTD65P,Bedrijfsauto,ECOCRAFT,CARRIER,open laadvloer,N.v.t.,1328,Ja,4,N1,2022-12-23T00:00:00.000,2009-01-06T00:00:00.000,2022-12-23T00:00:00.000,,,0.01,1,Elektriciteit,Z,,,
78,VF700G,Bedrijfsauto,PIAGGIO,S85LP,kipper,N.v.t.,1370,Nee,4,N1,2020-02-11T00:00:00.000,2008-12-29T00:00:00.000,2013-10-25T00:00:00.000,,0,0.01,1,Elektriciteit,Z,,,
79,VNJ74Z,Bedrijfsauto,DODGE,DODGE RAM,pick-up truck,N.v.t.,2796,Ja,4,N1,2022-01-06T00:00:00.000,2022-01-06T00:00:00.000,2022-01-06T00:00:00.000,4,8,0.10,2,Elektriciteit,6,NOVC-HEV,,
80,VX20FJ,Bedrijfsauto,DAIHATSU,HIJET 1000 VAN,gesloten opbouw,N.v.t.,1125,Nee,4,N1,2012-12-10T00:00:00.000,1993-10-08T00:00:00.000,1993-10-08T00:00:00.000,0,,0.01,1,Elektriciteit,Z,,,
81,BE3388,Bedrijfsauto,FORD,1/2 TON PICK UP,pick-up truck,N.v.t.,1705,Ja,4,N1,2020-07-02T00:00:00.000,1946-02-28T00:00:00.000,1998-06-11T00:00:00.000,,,0.10,1,Elektriciteit,Z,,,
82,VHP68J,Bedrijfsauto,FIAT,FIAT DUCATO,gesloten opbouw,N.v.t.,3071,Ja,4,N1,2023-02-01T00:00:00.000,2012-05-25T00:00:00.000,2020-11-19T00:00:00.000,,,0.01,1,Elektriciteit,Z,,,
83,VHV23J,Bedrijfsauto,FIAT,DUCATO,gesloten opbouw,N.v.t.,3071,Ja,4,N1,2023-02-01T00:00:00.000,2012-05-25T00:00:00.000,2020-12-16T00:00:00.000,,,0.01,1,Elektriciteit,Z,,,
84,VHV24J,Bedrijfsauto,FIAT,DUCATO,gesloten opbouw,N.v.t.,3071,Ja,4,N1,2022-11-21T00:00:00.000,2012-05-25T00:00:00.000,2022-11-21T00:00:00.000,,,0.01,1,Elektriciteit,Z,,,
85,VHV36N,Bedrijfsauto,FIAT,DUCATO,gesloten opbouw,N.v.t.,3071,Ja,4,N1,2023-02-01T00:00:00.000,2012-05-25T00:00:00.000,2020-12-17T00:00:00.000,,,0.01,1,Elektriciteit,Z,,,
86,VHV42J,Bedrijfsauto,FIAT,DUCATO,gesloten opbouw,N.v.t.,3071,Ja,4,N1,2022-11-21T00:00:00.000,2012-05-25T00:00:00.000,2022-11-21T00:00:00.000,,,0.01,1,Elektriciteit,Z,,,
87,VNR24B,Bedrijfsauto,FIAT,FIAT DUCATO,gesloten opbouw,N.v.t.,3070,Ja,4,N2,2021-12-30T00:00:00.000,2021-12-30T00:00:00.000,2021-12-30T00:00:00.000,2,,0.02,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
88,V560FH,Bedrijfsauto,NISSAN,NISSAN ENV200,kipper,N.v.t.,1815,Ja,4,N1,2017-03-20T00:00:00.000,2017-03-08T00:00:00.000,2017-03-08T00:00:00.000,,0,0.04,1,Elektriciteit,Z,,,
89,VPR68F,Bedrijfsauto,FIAT,FIAT DUCATO,neerklapbare zijschotten,N.v.t.,3065,Ja,4,N1,2022-05-31T00:00:00.000,2022-05-31T00:00:00.000,2022-05-31T00:00:00.000,2,,0.02,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
90,8VXJ10,Bedrijfsauto,RENAULT,RENAULT KANGOO,gesloten opbouw,N.v.t.,1280,Nee,4,N1,2018-05-18T00:00:00.000,2002-03-01T00:00:00.000,2012-07-05T00:00:00.000,,0,0.02,1,Elektriciteit,Z,,,
91,V900GK,Bedrijfsauto,MERCEDES-BENZ,SPRINTER,gesloten opbouw,N.v.t.,3060,Ja,4,N1,2017-05-23T00:00:00.000,2017-05-19T00:00:00.000,2017-05-19T00:00:00.000,,,0.03,1,Elektriciteit,Z,,,
92,VJB19G,Bedrijfsauto,VOLVO,XC60,gesloten opbouw,N.v.t.,2077,Ja,4,N1,2021-01-07T00:00:00.000,2020-04-07T00:00:00.000,2021-01-07T00:00:00.000,5,4,0.00,2,Elektriciteit,6,NOVC-HEV,EURO 6 DG,715/2007*2018/1832DG
93,VSL14F,Bedrijfsauto,MELEX,N.CAR,gesloten opbouw,N.v.t.,892,Ja,4,N1,2022-11-28T00:00:00.000,2022-10-31T00:00:00.000,2022-10-31T00:00:00.000,2,,0.01,1,Elektriciteit,Z,,,
94,VSL15F,Bedrijfsauto,MELEX,N.CAR,gesloten opbouw,N.v.t.,892,Ja,4,N1,2022-11-28T00:00:00.000,2022-10-31T00:00:00.000,2022-10-31T00:00:00.000,2,,0.01,1,Elektriciteit,Z,,,
95,VSL16F,Bedrijfsauto,MELEX,N.CAR,gesloten opbouw,N.v.t.,892,Ja,4,N1,2022-11-28T00:00:00.000,2022-10-31T00:00:00.000,2022-10-31T00:00:00.000,2,,0.01,1,Elektriciteit,Z,,,
96,VSL17F,Bedrijfsauto,MELEX,N.CAR,gesloten opbouw,N.v.t.,892,Ja,4,N1,2022-11-28T00:00:00.000,2022-10-31T00:00:00.000,2022-10-31T00:00:00.000,2,,0.01,1,Elektriciteit,Z,,,
97,VSL18F,Bedrijfsauto,MELEX,N.CAR,gesloten opbouw,N.v.t.,892,Ja,4,N1,2022-11-21T00:00:00.000,2022-10-31T00:00:00.000,2022-10-31T00:00:00.000,2,,0.01,1,Elektriciteit,Z,,,
98,VSL19F,Bedrijfsauto,MELEX,N.CAR,gesloten opbouw,N.v.t.,892,Ja,4,N1,2022-11-21T00:00:00.000,2022-10-31T00:00:00.000,2022-10-31T00:00:00.000,2,,0.01,1,Elektriciteit,Z,,,
99,VSL20F,Bedrijfsauto,MELEX,N.CAR,gesloten opbouw,N.v.t.,892,Ja,4,N1,2022-11-21T00:00:00.000,2022-10-31T00:00:00.000,2022-10-31T00:00:00.000,2,,0.01,1,Elektriciteit,Z,,,
100,VSL21F,Bedrijfsauto,MELEX,N.CAR,gesloten opbouw,N.v.t.,892,Ja,4,N1,2022-11-21T00:00:00.000,2022-10-31T00:00:00.000,2022-10-31T00:00:00.000,2,,0.01,1,Elektriciteit,Z,,,
101,VSL36N,Bedrijfsauto,MELEX,N.CAR,gesloten opbouw,N.v.t.,892,Ja,4,N1,2022-11-21T00:00:00.000,2022-11-02T00:00:00.000,2022-11-02T00:00:00.000,2,,0.01,1,Elektriciteit,Z,,,
102,VSL37N,Bedrijfsauto,MELEX,N.CAR,gesloten opbouw,N.v.t.,892,Ja,4,N1,2022-11-21T00:00:00.000,2022-11-02T00:00:00.000,2022-11-02T00:00:00.000,2,,0.01,1,Elektriciteit,Z,,,
103,VSL38N,Bedrijfsauto,MELEX,N.CAR,gesloten opbouw,N.v.t.,892,Ja,4,N1,2022-11-28T00:00:00.000,2022-11-02T00:00:00.000,2022-11-02T00:00:00.000,2,,0.01,1,Elektriciteit,Z,,,
